State,Total population,Number in poverty,Margin of error (±) (34),Percent in poverty,Margin of error (±) (34),Year
Illinois,"12,5","1,16",160,9.3,1.3,2019
Indiana,"6,691",677,112,10.1,1.7,2019
Iowa,"3,137",298,57,9.5,1.8,2019
Kansas,"2,813",266,48,9.5,1.7,2019
Kentucky,"4,399",599,119,13.6,2.6,2019
Louisiana,"4,563",816,99,17.9,2.1,2019
Maine,"1,34",140,36,10.4,2.7,2019
Maryland,"6,067",424,107,7.0,1.8,2019
Massachusetts,"6,897",521,86,7.5,1.3,2019
Michigan,"9,901","1,007",168,10.2,1.7,2019
Minnesota,"5,681",322,76,5.7,1.3,2019
Mississippi,"2,911",560,96,19.2,3.4,2019
Missouri,"6,063",568,163,9.4,2.8,2019
Montana,"1,053",102,12,9.7,1.2,2019
Nebraska,"1,885",165,37,8.7,1.9,2019
Nevada,"3,105",323,49,10.4,1.6,2019
New Hampshire,"1,351",49,15,3.7,1.1,2019
New Jersey,"8,738",554,105,6.3,1.2,2019
New Mexico,"2,058",315,38,15.3,1.8,2019
New York,"19,07","2,382",235,12.5,1.2,2019
North Carolina,"10,47","1,324",158,12.7,1.5,2019
North Dakota,749,61,10,8.1,1.4,2019
Ohio,"11,51","1,424",194,12.4,1.7,2019
Oklahoma,"3,899",422,72,10.8,1.8,2019
Oregon,"4,135",336,72,8.1,1.8,2019
Pennsylvania,"12,55","1,092",149,8.7,1.2,2019
Rhode Island,"1,047",96,22,9.2,2.1,2019
South Carolina,"5,144",775,98,15.1,1.9,2019
South Dakota,860,91,19,10.6,2.2,2019
Tennessee,"6,721",879,185,13.1,2.7,2019
Texas,"28,67","3,174",288,11.1,1.0,2019
Utah,"3,232",236,76,7.3,2.4,2019
Vermont,615,53,12,8.6,1.9,2019
Virginia,"8,335",737,125,8.8,1.5,2019
Washington,"7,549",527,105,7.0,1.4,2019
West Virginia,"1,745",242,34,13.9,1.9,2019
Wisconsin,"5,73",479,92,8.4,1.6,2019
Wyoming,565,52,14,9.2,2.5,2019
Alabama,"4,877",779,107,16.0,2.1,2018
Alaska,720,94,15,13.1,2.0,2018
Arizona,"7,241",929,132,12.8,1.8,2018
Arkansas,"2,912",462,63,15.9,2.1,2018
California,"39,15","4,664",303,11.9,0.8,2018
Colorado,"5,739",521,84,9.1,1.5,2018
Connecticut,"3,413",348,71,10.2,2.1,2018
Delaware,976,72,15,7.4,1.6,2018
District of Columbia,692,102,13,14.7,1.8,2018
Florida,"21,12","2,883",285,13.7,1.3,2018
Georgia,"10,42","1,548",189,14.8,1.8,2018
Hawaii,"1,393",128,26,9.2,1.8,2018
Idaho,"1,766",202,41,11.5,2.3,2018
Illinois,"12,59","1,292",214,10.3,1.6,2018
Indiana,"6,582",761,112,11.6,1.6,2018
Iowa,"3,11",277,49,8.9,1.6,2018
Kansas,"2,835",212,44,7.5,1.5,2018
Kentucky,"4,445",696,125,15.7,2.8,2018
Louisiana,"4,51",858,63,19.0,1.5,2018
Maine,"1,321",153,31,11.6,2.3,2018
Maryland,"6,03",480,82,8.0,1.3,2018
Massachusetts,"6,883",601,97,8.7,1.5,2018
Michigan,"9,913","1,036",128,10.5,1.3,2018
Minnesota,"5,746",456,77,7.9,1.3,2018
Mississippi,"2,899",567,44,19.6,1.5,2018
Missouri,"6,026",745,133,12.4,2.3,2018
Montana,"1,041",107,20,10.3,2.0,2018
Nebraska,"1,893",199,41,10.5,2.1,2018
Nevada,"3,008",390,61,13.0,2.0,2018
New Hampshire,"1,349",82,18,6.1,1.3,2018
New Jersey,"8,79",725,107,8.2,1.2,2018
New Mexico,"2,054",342,44,16.6,2.1,2018
New York,"19,34","2,145",181,11.1,1.0,2018
North Carolina,"10,37","1,355",158,13.1,1.5,2018
North Dakota,745,72,15,9.7,2.0,2018
Ohio,"11,45","1,365",189,11.9,1.6,2018
Oklahoma,"3,858",518,79,13.4,2.0,2018
Oregon,"4,172",404,74,9.7,1.8,2018
Pennsylvania,"12,52","1,476",204,11.8,1.6,2018
Rhode Island,"1,036",92,25,8.9,2.3,2018
South Carolina,"5,036",642,74,12.8,1.5,2018
South Dakota,853,90,13,10.6,1.5,2018
Tennessee,"6,665",800,120,12.0,1.8,2018
Texas,"28,5","3,894",285,13.7,1.0,2018
Utah,"3,173",219,61,6.9,2.0,2018
Vermont,616,60,12,9.7,1.8,2018
Virginia,"8,393",821,141,9.8,1.6,2018
Washington,"7,555",647,166,8.6,2.1,2018
West Virginia,"1,762",279,35,15.9,2.0,2018
Wisconsin,"5,795",499,89,8.6,1.5,2018
Wyoming,565,53,10,9.5,1.8,2018
Alabama,"4,801",735,95,15.3,2.1,2017
Alaska,719,87,20,12.1,2.6,2017
Arizona,"6,981",951,171,13.6,2.5,2017
Arkansas,"2,921",436,54,14.9,1.8,2017
California,"39,25","4,759",299,12.1,0.8,2017
Colorado,"5,527",489,84,8.9,1.5,2017
Connecticut,"3,553",377,71,10.6,2.0,2017
Delaware,967,85,16,8.8,1.8,2017
District of Columbia,691,96,13,13.9,1.8,2017
Florida,"20,91","2,809",285,13.4,1.3,2017
Georgia,"10,23","1,339",171,13.1,1.6,2017
Hawaii,"1,402",149,28,10.6,2.0,2017
Idaho,"1,73",199,38,11.5,2.3,2017
Illinois,"12,6","1,454",168,11.5,1.3,2017
Indiana,"6,532",762,115,11.7,1.8,2017
Iowa,"3,053",230,54,7.5,1.8,2017
Kansas,"2,868",411,54,14.3,2.0,2017
Kentucky,"4,395",591,125,13.5,3.0,2017
Louisiana,"4,535",931,79,20.5,1.8,2017
Maine,"1,315",163,31,12.4,2.3,2017
Maryland,"5,977",451,95,7.6,1.6,2017
Massachusetts,"6,784",763,117,11.2,1.6,2017
Michigan,"9,895","1,135",145,11.5,1.5,2017
Minnesota,"5,619",479,94,8.5,1.6,2017
Mississippi,"2,948",544,44,18.5,1.5,2017
Missouri,"5,988",683,133,11.4,2.3,2017
Montana,"1,041",107,18,10.3,1.6,2017
Nebraska,"1,878",216,41,11.5,2.1,2017
Nevada,"2,979",392,61,13.2,2.0,2017
New Hampshire,"1,333",95,21,7.2,1.6,2017
New Jersey,"9,015",894,156,9.9,1.8,2017
New Mexico,"2,035",402,46,19.7,2.3,2017
New York,"19,74","2,51",232,12.7,1.2,2017
North Carolina,"10,3","1,567",158,15.2,1.6,2017
North Dakota,740,92,18,12.4,2.5,2017
Ohio,"11,49","1,479",161,12.9,1.5,2017
Oklahoma,"3,817",490,77,12.8,2.0,2017
Oregon,"4,202",482,90,11.5,2.3,2017
Pennsylvania,"12,57","1,373",155,10.9,1.3,2017
Rhode Island,"1,046",118,25,11.3,2.3,2017
South Carolina,"4,955",756,90,15.2,1.8,2017
South Dakota,870,93,25,10.7,2.8,2017
Tennessee,"6,699",759,107,11.3,1.6,2017
Texas,"28,09","3,715",306,13.2,1.2,2017
Utah,"3,13",272,56,8.7,1.8,2017
Vermont,613,53,10,8.6,1.6,2017
Virginia,"8,242",862,117,10.5,1.5,2017
Washington,"7,425",810,123,10.9,1.6,2017
West Virginia,"1,793",306,41,17.1,2.1,2017
Wisconsin,"5,809",537,67,9.2,1.2,2017
Wyoming,560,73,13,13.0,2.3,2017
Alabama,"4,821",782,104,16.2,2.1,2016
Alaska,708,89,20,12.6,2.8,2016
Arizona,"6,878","1,108",130,16.1,1.8,2016
Arkansas,"2,941",471,46,16.0,1.5,2016
California,"39,14","5,435",288,13.9,0.7,2016
Colorado,"5,502",467,84,8.5,1.5,2016
Connecticut,"3,567",351,74,9.8,2.1,2016
Delaware,947,110,20,11.6,2.1,2016
District of Columbia,685,112,12,16.3,1.6,2016
Florida,"20,52","2,659",206,13.0,1.0,2016
Georgia,"10,27","1,58",191,15.4,1.8,2016
Hawaii,"1,392",129,28,9.3,2.0,2016
Idaho,"1,679",187,28,11.1,1.6,2016
Illinois,"12,58","1,517",168,12.1,1.3,2016
Indiana,"6,493",768,110,11.8,1.6,2016
Iowa,"3,099",302,48,9.8,1.5,2016
Kansas,"2,859",321,54,11.2,2.0,2016
Kentucky,"4,383",667,94,15.2,2.1,2016
Louisiana,"4,573",923,76,20.2,1.6,2016
Maine,"1,317",167,31,12.7,2.3,2016
Maryland,"5,93",424,89,7.1,1.5,2016
Massachusetts,"6,775",649,92,9.6,1.3,2016
Michigan,"9,875","1,091",135,11.1,1.3,2016
Minnesota,"5,43",470,81,8.7,1.5,2016
Mississippi,"2,943",622,76,21.1,2.5,2016
Missouri,"5,878",762,120,13.0,2.0,2016
Montana,"1,031",121,16,11.7,1.6,2016
Nebraska,"1,87",179,43,9.6,2.3,2016
Nevada,"2,941",298,63,10.1,2.1,2016
New Hampshire,"1,316",84,18,6.4,1.3,2016
New Jersey,"8,836",828,135,9.4,1.5,2016
New Mexico,"2,043",364,54,17.8,2.6,2016
New York,"19,46","2,314",240,11.9,1.2,2016
North Carolina,"10,06","1,363",173,13.6,1.6,2016
North Dakota,749,83,15,11.1,2.0,2016
Ohio,"11,44","1,573",179,13.7,1.5,2016
Oklahoma,"3,911",571,120,14.6,3.1,2016
Oregon,"4,124",486,81,11.8,2.0,2016
Pennsylvania,"12,53","1,396",165,11.1,1.3,2016
Rhode Island,"1,052",119,25,11.4,2.3,2016
South Carolina,"4,898",690,99,14.1,2.0,2016
South Dakota,855,124,21,14.5,2.5,2016
Tennessee,"6,652",988,143,14.9,2.1,2016
Texas,"27,66","3,812",273,13.8,1.0,2016
Utah,"3,077",264,49,8.6,1.6,2016
Vermont,622,60,10,9.6,1.6,2016
Virginia,"8,163",929,137,11.4,1.6,2016
Washington,"7,289",800,99,11.0,1.3,2016
West Virginia,"1,808",326,51,18.0,2.8,2016
Wisconsin,"5,764",620,84,10.7,1.5,2016
Wyoming,571,62,12,10.9,2.0,2016
Alabama,"4,82",784,99,16.3,2.0,2015
Alaska,703,65,10,9.2,1.5,2015
Arizona,"6,728","1,156",138,17.2,2.1,2015
Arkansas,"2,951",475,44,16.1,1.5,2015
California,"39,08","5,441",347,13.9,0.8,2015
Colorado,"5,42",538,114,9.9,2.1,2015
Connecticut,"3,572",324,71,9.1,2.0,2015
Delaware,958,106,20,11.1,2.0,2015
District of Columbia,676,113,13,16.6,2.0,2015
Florida,"20,07","3,253",290,16.2,1.5,2015
Georgia,"10,1","1,833",183,18.1,1.8,2015
Hawaii,"1,382",151,26,10.9,1.8,2015
Idaho,"1,657",204,35,12.3,2.1,2015
Illinois,"12,68","1,38",171,10.9,1.3,2015
Indiana,"6,502",880,118,13.5,1.8,2015
Iowa,"3,1",321,64,10.4,2.1,2015
Kansas,"2,849",404,69,14.2,2.5,2015
Kentucky,"4,365",851,94,19.5,2.1,2015
Louisiana,"4,599",854,94,18.6,2.0,2015
Maine,"1,34",165,33,12.3,2.5,2015
Maryland,"5,892",566,115,9.6,2.0,2015
Massachusetts,"6,777",782,107,11.5,1.6,2015
Michigan,"9,852","1,259",161,12.8,1.6,2015
Minnesota,"5,458",428,95,7.8,1.8,2015
Mississippi,"2,947",563,54,19.1,1.8,2015
Missouri,"5,946",582,117,9.8,2.0,2015
Montana,"1,018",121,20,11.9,2.0,2015
Nebraska,"1,858",192,30,10.3,1.6,2015
Nevada,"2,864",371,59,13.0,2.1,2015
New Hampshire,"1,293",94,21,7.3,1.6,2015
New Jersey,"8,936","1,004",156,11.2,1.8,2015
New Mexico,"2,036",400,46,19.7,2.3,2015
New York,"19,65","2,791",257,14.2,1.3,2015
North Carolina,"9,887","1,509",156,15.3,1.6,2015
North Dakota,763,82,20,10.7,2.5,2015
Ohio,"11,44","1,55",173,13.6,1.5,2015
Oklahoma,"3,887",551,74,14.2,1.8,2015
Oregon,"4,029",478,114,11.9,2.8,2015
Pennsylvania,"12,56","1,542",176,12.3,1.5,2015
Rhode Island,"1,044",123,26,11.8,2.5,2015
South Carolina,"4,79",683,92,14.3,2.0,2015
South Dakota,848,118,16,13.9,2.0,2015
Tennessee,"6,605",973,115,14.7,1.8,2015
Texas,"27,4","4,036",341,14.7,1.3,2015
Utah,"3,004",279,49,9.3,1.6,2015
Vermont,609,65,13,10.7,2.1,2015
Virginia,"8,216",894,133,10.9,1.6,2015
Washington,"7,193",819,89,11.4,1.3,2015
West Virginia,"1,795",261,76,14.5,4.3,2015
Wisconsin,"5,736",654,112,11.4,2.0,2015
Wyoming,574,56,13,9.8,2.3,2015
Alabama,"4,765",848,87,17.8,1.8,2014
Alaska,694,82,13,11.9,2.0,2014
Arizona,"6,657","1,409",125,21.2,1.8,2014
Arkansas,"2,891",532,72,18.4,2.5,2014
California,"38,67","6,112",359,15.8,1.0,2014
Colorado,"5,376",661,118,12.3,2.1,2014
Connecticut,"3,577",308,72,8.6,2.0,2014
Delaware,929,103,16,11.0,1.6,2014
District of Columbia,657,125,15,19.0,2.1,2014
Florida,"19,69","3,282",247,16.7,1.3,2014
Georgia,"9,948","1,676",151,16.8,1.5,2014
Hawaii,"1,365",147,26,10.8,1.8,2014
Idaho,"1,606",199,36,12.4,2.3,2014
Illinois,"12,77","1,756",183,13.7,1.5,2014
Indiana,"6,47",948,140,14.6,2.1,2014
Iowa,"3,078",317,54,10.3,1.8,2014
Kansas,"2,851",345,51,12.1,1.8,2014
Kentucky,"4,299",861,114,20.0,2.6,2014
Louisiana,"4,55","1,049",87,23.1,2.0,2014
Maine,"1,3",190,33,14.6,2.5,2014
Maryland,"5,934",584,90,9.8,1.5,2014
Massachusetts,"6,653",902,117,13.6,1.8,2014
Michigan,"9,893","1,462",148,14.8,1.5,2014
Minnesota,"5,417",447,87,8.3,1.6,2014
Mississippi,"2,961",654,61,22.1,2.0,2014
Missouri,"5,95",620,89,10.4,1.5,2014
Montana,"1,008",121,21,12.0,2.1,2014
Nebraska,"1,873",221,38,11.8,2.0,2014
Nevada,"2,819",478,74,17.0,2.6,2014
New Hampshire,"1,318",95,18,7.2,1.3,2014
New Jersey,"8,938","1,013",148,11.3,1.6,2014
New Mexico,"2,03",406,54,20.0,2.6,2014
New York,"19,66","2,755",237,14.0,1.2,2014
North Carolina,"9,823","1,678",192,17.1,2.0,2014
North Dakota,731,71,8,9.7,1.2,2014
Ohio,"11,51","1,792",179,15.6,1.5,2014
Oklahoma,"3,728",647,84,17.3,2.3,2014
Oregon,"3,955",570,77,14.4,2.0,2014
Pennsylvania,"12,62","1,581",171,12.5,1.3,2014
Rhode Island,"1,046",119,23,11.3,2.1,2014
South Carolina,"4,764",788,84,16.5,1.8,2014
South Dakota,846,109,23,12.8,2.8,2014
Tennessee,"6,496","1,122",123,17.3,2.0,2014
Texas,"26,68","4,364",285,16.4,1.0,2014
Utah,"2,928",298,59,10.2,2.0,2014
Vermont,615,57,10,9.3,1.5,2014
Virginia,"8,257",842,120,10.2,1.5,2014
Washington,"7,079",852,135,12.0,2.0,2014
West Virginia,"1,822",376,49,20.6,2.8,2014
Wisconsin,"5,742",628,90,10.9,1.6,2014
Wyoming,572,55,10,9.7,1.8,2014
Alabama,"4,807",891,155,18.5,3.3,2013
Alaska,696,67,25,9.7,3.5,2013
Arizona,"6,532","1,163",265,17.8,4.1,2013
Arkansas,"2,852",395,76,13.9,2.6,2013
California,"38,21","5,754",579,15.1,1.5,2013
Colorado,"5,303",569,118,10.7,2.3,2013
Connecticut,"3,637",396,97,10.9,2.6,2013
Delaware,912,102,28,11.2,3.0,2013
District of Columbia,647,150,28,23.2,4.3,2013
Florida,"19,46","2,882",410,14.8,2.1,2013
Georgia,"9,848","1,825",283,18.5,3.0,2013
Hawaii,"1,338",142,39,10.6,3.0,2013
Idaho,"1,61",200,59,12.4,3.6,2013
Illinois,"12,65","1,72",253,13.6,2.0,2013
Indiana,"6,557","1,083",227,16.5,3.5,2013
Iowa,"3,076",405,69,13.2,2.3,2013
Kansas,"2,76",315,115,11.4,4.1,2013
Kentucky,"4,501",991,174,22.0,3.9,2013
Louisiana,"4,534",963,186,21.2,4.1,2013
Maine,"1,33",151,36,11.4,2.6,2013
Maryland,"5,946",623,145,10.5,2.5,2013
Massachusetts,"6,735",818,247,12.1,3.6,2013
Michigan,"10,07","1,277",260,12.7,2.6,2013
Minnesota,"5,349",589,138,11.0,2.6,2013
Mississippi,"2,895",554,166,19.1,5.8,2013
Missouri,"5,955","1,041",224,17.5,3.8,2013
Montana,980,103,44,10.5,4.4,2013
Nebraska,"1,868",196,49,10.5,2.6,2013
Nevada,"2,774",401,99,14.5,3.6,2013
New Hampshire,"1,301",71,21,5.5,1.6,2013
New Jersey,"8,728",861,197,9.9,2.3,2013
New Mexico,"2,079",535,118,25.8,5.8,2013
New York,"19,34","3,337",484,17.3,2.5,2013
North Carolina,"9,672","1,419",316,14.7,3.3,2013
North Dakota,716,94,25,13.2,3.5,2013
Ohio,"11,28","1,684",286,14.9,2.5,2013
Oklahoma,"3,697",785,207,21.2,5.6,2013
Oregon,"3,969",556,132,14.0,3.3,2013
Pennsylvania,"12,8","1,432",250,11.2,2.0,2013
Rhode Island,"1,032",96,30,9.3,2.8,2013
South Carolina,"4,676",904,176,19.3,3.8,2013
South Dakota,827,110,33,13.3,4.1,2013
Tennessee,"6,272",972,227,15.5,3.6,2013
Texas,"26,2","4,422",517,16.9,2.0,2013
Utah,"2,923",357,82,12.2,2.8,2013
Vermont,629,43,16,6.8,2.6,2013
Virginia,"8,23",805,191,9.8,2.3,2013
Washington,"6,877",836,163,12.2,2.3,2013
West Virginia,"1,805",358,84,19.8,4.6,2013
Wisconsin,"5,615",756,171,13.5,3.1,2013
Wyoming,592,68,18,11.4,3.1,2013
Alabama,"4,808",777,150,16.2,3.1,2012
Alaska,702,70,13,10.0,1.8,2012
Arizona,"6,642","1,26",183,19.0,2.8,2012
Arkansas,"2,909",584,84,20.1,3.0,2012
California,"37,91","6,015",316,15.9,0.8,2012
Colorado,"5,153",613,100,11.9,2.0,2012
Connecticut,"3,517",363,49,10.3,1.5,2012
Delaware,900,121,18,13.5,2.0,2012
District of Columbia,632,116,15,18.4,2.1,2012
Florida,"19,17","2,926",211,15.3,1.2,2012
Georgia,"9,665","1,752",220,18.1,2.3,2012
Hawaii,"1,356",188,35,13.8,2.6,2012
Idaho,"1,588",229,36,14.4,2.3,2012
Illinois,"12,73","1,608",161,12.6,1.3,2012
Indiana,"6,343",964,115,15.2,1.8,2012
Iowa,"3,01",310,36,10.3,1.3,2012
Kansas,"2,828",397,56,14.0,2.1,2012
Kentucky,"4,342",776,109,17.9,2.5,2012
Louisiana,"4,465",944,163,21.1,3.8,2012
Maine,"1,33",170,23,12.8,1.8,2012
Maryland,"5,892",585,77,9.9,1.3,2012
Massachusetts,"6,566",743,97,11.3,1.5,2012
Michigan,"9,731","1,331",156,13.7,1.6,2012
Minnesota,"5,353",534,77,10.0,1.5,2012
Mississippi,"2,893",636,90,22.0,3.1,2012
Missouri,"5,956",905,141,15.2,2.5,2012
Montana,999,134,25,13.4,2.5,2012
Nebraska,"1,849",226,41,12.2,2.1,2012
Nevada,"2,735",433,53,15.8,2.0,2012
New Hampshire,"1,308",106,18,8.1,1.3,2012
New Jersey,"8,72",814,120,9.3,1.3,2012
New Mexico,"2,064",420,72,20.4,3.5,2012
New York,"19,3","3,328",215,17.2,1.2,2012
North Carolina,"9,634","1,652",207,17.2,2.1,2012
North Dakota,692,79,12,11.4,1.8,2012
Ohio,"11,4","1,751",196,15.4,1.8,2012
Oklahoma,"3,7",668,76,18.0,2.1,2012
Oregon,"3,872",523,66,13.5,1.6,2012
Pennsylvania,"12,66","1,756",183,13.9,1.5,2012
Rhode Island,"1,034",141,20,13.6,1.8,2012
South Carolina,"4,667",779,104,16.7,2.3,2012
South Dakota,822,106,18,12.8,2.1,2012
Tennessee,"6,422","1,194",194,18.6,3.1,2012
Texas,"26,06","4,444",316,17.0,1.2,2012
Utah,"2,849",312,74,11.0,2.6,2012
Vermont,615,69,12,11.2,1.8,2012
Virginia,"7,994",850,146,10.6,1.8,2012
Washington,"6,856",796,95,11.6,1.5,2012
West Virginia,"1,803",301,66,16.7,3.6,2012
Wisconsin,"5,628",640,81,11.4,1.5,2012
Wyoming,577,56,12,9.6,2.0,2012
Alabama,"4,765",732,122,15.4,2.5,2011
Alaska,712,83,15,11.7,2.1,2011
Arizona,"6,547","1,128",176,17.2,2.8,2011
Arkansas,"2,909",545,76,18.7,2.6,2011
California,"37,59","6,352",332,16.9,1.0,2011
Colorado,"5,016",661,89,13.2,1.8,2011
Connecticut,"3,514",356,54,10.1,1.5,2011
Delaware,902,123,15,13.7,1.6,2011
District of Columbia,619,123,15,19.9,2.3,2011
Florida,"18,99","2,822",224,14.9,1.2,2011
Georgia,"9,681","1,783",201,18.4,2.1,2011
Hawaii,"1,337",162,30,12.1,2.3,2011
Idaho,"1,574",248,43,15.7,2.8,2011
Illinois,"12,7","1,807",179,14.2,1.5,2011
Indiana,"6,344",989,137,15.6,2.1,2011
Iowa,"3,027",315,39,10.4,1.3,2011
Kansas,"2,807",402,53,14.3,2.0,2011
Kentucky,"4,302",689,99,16.0,2.3,2011
Louisiana,"4,494",947,123,21.1,2.6,2011
Maine,"1,328",178,23,13.4,1.8,2011
Maryland,"5,806",537,71,9.3,1.3,2011
Massachusetts,"6,514",688,90,10.6,1.5,2011
Michigan,"9,689","1,449",165,15.0,1.6,2011
Minnesota,"5,276",528,76,10.0,1.5,2011
Mississippi,"2,932",510,66,17.4,2.3,2011
Missouri,"5,892",910,161,15.4,2.8,2011
Montana,986,163,26,16.5,2.6,2011
Nebraska,"1,823",187,36,10.2,2.1,2011
Nevada,"2,682",414,56,15.5,2.1,2011
New Hampshire,"1,3",99,20,7.6,1.5,2011
New Jersey,"8,642",988,125,11.4,1.5,2011
New Mexico,"2,037",451,59,22.2,3.0,2011
New York,"19,33","3,085",237,16.0,1.2,2011
North Carolina,"9,504","1,459",214,15.4,2.3,2011
North Dakota,675,67,16,9.9,2.3,2011
Ohio,"11,31","1,708",212,15.1,2.0,2011
Oklahoma,"3,763",522,77,13.9,2.0,2011
Oregon,"3,85",553,84,14.4,2.1,2011
Pennsylvania,"12,7","1,604",174,12.6,1.3,2011
Rhode Island,"1,038",139,16,13.4,1.6,2011
South Carolina,"4,605",874,105,19.0,2.3,2011
South Dakota,808,117,33,14.5,4.1,2011
Tennessee,"6,324","1,03",171,16.3,2.8,2011
Texas,"25,55","4,458",322,17.4,1.3,2011
Utah,"2,812",309,48,11.0,1.6,2011
Vermont,615,71,10,11.6,1.6,2011
Virginia,"7,971",907,115,11.4,1.5,2011
Washington,"6,812",854,122,12.5,1.8,2011
West Virginia,"1,82",318,56,17.5,3.0,2011
Wisconsin,"5,676",743,99,13.1,1.8,2011
Wyoming,562,60,13,10.7,2.3,2011
Alabama,"4,717",812,137,17.2,3.0,2010
Alaska,695,87,16,12.5,2.5,2010
Arizona,"6,426","1,208",178,18.8,2.8,2010
Arkansas,"2,879",440,74,15.3,2.6,2010
California,"37,24","6,073",349,16.3,1.0,2010
Colorado,"4,995",615,89,12.3,1.8,2010
Connecticut,"3,541",303,44,8.6,1.3,2010
Delaware,890,109,16,12.2,1.8,2010
District of Columbia,604,118,13,19.5,2.1,2010
Florida,"18,76","3,006",209,16.0,1.2,2010
Georgia,"9,65","1,814",171,18.8,1.8,2010
Hawaii,"1,311",162,25,12.4,2.0,2010
Idaho,"1,543",213,38,13.8,2.5,2010
Illinois,"12,78","1,798",166,14.1,1.3,2010
Indiana,"6,39","1,041",156,16.3,2.5,2010
Iowa,"2,977",307,49,10.3,1.6,2010
Kansas,"2,766",400,64,14.5,2.3,2010
Kentucky,"4,27",754,107,17.7,2.6,2010
Louisiana,"4,418",949,114,21.5,2.6,2010
Maine,"1,298",164,25,12.6,2.0,2010
Maryland,"5,786",628,82,10.9,1.5,2010
Massachusetts,"6,532",711,112,10.9,1.8,2010
Michigan,"9,751","1,53",181,15.7,1.8,2010
Minnesota,"5,217",563,71,10.8,1.3,2010
Mississippi,"2,92",658,72,22.5,2.5,2010
Missouri,"5,929",890,130,15.0,2.3,2010
Montana,979,142,28,14.5,3.0,2010
Nebraska,"1,804",184,33,10.2,2.0,2010
Nevada,"2,696",446,58,16.6,2.1,2010
New Hampshire,"1,294",84,13,6.5,1.2,2010
New Jersey,"8,733",966,146,11.1,1.6,2010
New Mexico,"2,033",372,49,18.3,2.5,2010
New York,"19,12","3,062",242,16.0,1.3,2010
North Carolina,"9,359","1,633",148,17.4,1.6,2010
North Dakota,653,82,10,12.6,1.5,2010
Ohio,"11,34","1,746",194,15.4,1.8,2010
